Company Name,,Operating as,Phone,Website,Region,Country,City,State/Province,Street address,Plant details,Number of Lines,Joint Venture Partner,,,,,,,,,,,,,
Kibing Group,,Shaoxing Kibing Glass Co. Ltd.,86 65 6884-6401,http://kibinggroup.com/en/Subsidiaries.asp,Asia,China,Shaoxing,Zhejiang,,,2,,,,,,,,,,,,,,
Kibing Group,,Zhangzhou Kibing Glass Co. Ltd.,86 65 6884-6401,http://kibinggroup.com/en/Subsidiaries.asp,Asia,China,Fujian,Zhangzhou,,,8,,,,,,,,,,,,,,
Kibing Group,,Zhuzhou Liling Kibing Glass Co. Ltd.,86 65 6884-6401,http://kibinggroup.com/en/Subsidiaries.asp,Asia,China,Zhuzhou Liling,Hunan,,,3,,,,,,,,,,,,,,
Kibing Group Sdn. Bhd.,,,010-3617559,https://www.linkedin.com/company/kibing-group-m-sdn-bhd/,Asia,Malaysia,Seremban,Negeri Sembilan,,Existing plant ,0,,,,,,,,,,,,,,
Link Glass Co.,,,0086-21-54868552,http://link-glass.com,Asia,China,Shanghai,,"No. 1555, Caobao Road, Shanghai",Link Glass reports 3 float lines. The precise locations of the lines have yet to be confirmed.,3,,,,,,,,,,,,,,
Liya Glass,,,98 21 2225-6615-21,http://www.liyaglass.ir/en/about-us/Profile/view,Middle East,Iran,Qazvin,,,,1,,,,,,,,,,,,,,
Luoyang Glass Company Limited,,,86 039 8223-8199,http://www.zhglb.com/english/index.jsp,Asia,China,Luoyang City,Henan,,,9,,,,,,,,,,,,,,
Mediterranean Float Glass,,,213 2144-8644,http://www.cevital.com/en/mfg.html,Africa,Algeria,Algiers,,,,1,,,,,,,,,,,,,,
Mingda Glass Co.,,,86 27 8421-3003,,Asia,China,Wuhan,,,,2,,,,,,,,,,,,,,
Mingda Glass Co.,,,86 59 2622-3607,,Asia,China,Xiamen,Fujian,Jimei Qu,,0,,,,,,,,,,,,,,
Nanning Float Glass,,,86 77 1483-1152,,Asia,China,Nanning,Guangxi,,,2,,,,,,,,,,,,,,
Nasir Glass Industries Ltd. (NGIL),,,88 0 2882-0279,http://nasirgroup.com.bd/index.htm,Asia,Bangladesh,Sreepur,Gazipur,,,2,,,,,,,,,,,,,,
Ningbo Kangli Glass Co. Ltd.,,,86 574 8645-8830,http://www.nbklglass.com/en/index.html,Asia,China,Ningbo,Zhejiang,,,2,,,,,,,,,,,,,,
Nippon Sheet Glass,,Vidrieria Argentina S.A,411 4239-5000,http://www.vasa.com.ar/,South America,Argentina,Llavallol,Buenos Aires,Antartida Argentina 1360,,1,Saint-Gobain,,,,,,,,,,,,,
Nippon Sheet Glass,,Cebrace Cristal Plano Ltda,55 47 3446-7000,http://www.cebrace.com.br/,South America,Brazil,Barra Velha,Santa Catarina,,,1,Saint-Gobain,,,,,,,,,,,,,
Nippon Sheet Glass,,Cebrace Cristal Plano Ltda,55 12 3654-5000,http://www.cebrace.com.br/,South America,Brazil,Cacapava,Sao Paulo,,,1,Saint-Gobain,,,,,,,,,,,,,
Nippon Sheet Glass,,Cebrace Cristal Plano Ltda,55 12 3655-9000,http://www.cebrace.com.br/,South America,Brazil,Jacarei,Sao Paulo,,,3,Saint-Gobain,,,,,,,,,,,,,
Nippon Sheet Glass,,,56 4120-1101,http://www.nsg.com/en,South America,Chile,Concepcion,Bio Bio Region,,,1,Saint-Gobain,,,,,,,,,,,,,
Nippon Sheet Glass,,,57 1770-0777,http://www.nsg.com/en,South America,Colombia,Bogota,,,,1,Saint-Gobain,,,,,,,,,,,,,
Nippon Sheet Glass,,,49 0960-5180,http://www.nsg.com/en,Europe,Germany,Weiherhammer,,"Flachglasstrasse 3, 92729",,2,,,,,,,,,,,,,,
Nippon Sheet Glass,,,49 0 2043-4050,http://www.nsg.com/en,Europe,Germany,Gladbeck,,"Hegestrasse 360, 45966",,2,,,,,,,,,,,,,,
Nippon Sheet Glass,,,39 08 7354-8073,http://www.nsg.com/en,Europe,Italy,San Salvo,,"75, Viale Bellisario Marisa",,2,,,,,,,,,,,,,,
Nippon Sheet Glass,,,81 03 5443-9500,http://www.nsg.com/en,Asia,Japan,Ichihara,Chiba,6 Anesakikaigan,,2,,,,,,,,,,,,,,
Nippon Sheet Glass,,,81 03 5443-9500,http://www.nsg.com/en,Asia,Japan,Maizuru,Kyoto Prefecture,,,2,,,,,,,,,,,,,,
Nippon Sheet Glass,,,60 0 7251-0217,http://www.nsg.com/en,Asia,Malaysia,Johore Bahru,Johor,Jalan Keluli 3,,2,,,,,,,,,,,,,,
